SOC,Rint[Ohm]
0.0,0.043255523118634266
0.01,0.041876640405698495
0.02,0.040497757692762724
0.03,0.03911887497982696
0.04,0.03773999226689119
0.05,0.03636110955395542
0.06,0.03636460362844667
0.07,0.03636809770293793
0.08,0.036371591777429185
0.09,0.036375085851920445
0.1,0.0363785799264117
0.11,0.03641131065267074
0.12,0.03644404137892978
0.13,0.03647677210518883
0.14,0.03650950283144787
0.15,0.03654223355770691
0.16,0.03652889862243796
0.17,0.03651556368716902
0.18,0.03650222875190007
0.19,0.036488893816631125
0.2,0.036475558881362176
0.21,0.036490536852656075
0.22,0.036505514823949974
0.23,0.036520492795243865
0.24,0.036535470766537764
0.25,0.03655044873783166
0.26,0.03652268747389061
0.27,0.03649492620994957
0.28,0.03646716494600852
0.29,0.036439403682067474
0.3,0.03641164241812642
0.31,0.03645967420325551
0.32,0.03650770598838459
0.33,0.036555737773513675
0.34,0.03660376955864276
0.35000000000000003,0.03665180134377184
0.36,0.036632817800948014
0.37,0.03661383425812418
0.38,0.03659485071530035
0.39,0.03657586717247652
0.4,0.03655688362965269
0.41000000000000003,0.036531807723563986
0.42,0.03650673181747528
0.43,0.03648165591138657
0.44,0.03645658000529787
0.45,0.036431504099209165
0.46,0.03639859930917389
0.47000000000000003,0.03636569451913862
0.48,0.03633278972910334
0.49,0.036299884939068064
0.5,0.03626698014903279
0.51,0.03634819802183287
0.52,0.036429415894632944
0.53,0.03651063376743303
0.54,0.036591851640233104
0.55,0.03667306951303318
0.56,0.03665520592568649
0.5700000000000001,0.03663734233833979
0.58,0.0366194787509931
0.59,0.0366016151636464
0.6,0.03658375157629971
0.61,0.03647429289594105
0.62,0.03636483421558239
0.63,0.036255375535223726
0.64,0.03614591685486507
0.65,0.03603645817450641
0.66,0.03600901698911852
0.67,0.03598157580373064
0.68,0.03595413461834275
0.6900000000000001,0.03592669343295487
0.7000000000000001,0.03589925224756698
0.71,0.03586371892486147
0.72,0.03582818560215596
0.73,0.03579265227945045
0.74,0.035757118956744945
0.75,0.03572158563403943
0.76,0.03572389725310834
0.77,0.035726208872177236
0.78,0.03572852049124614
0.79,0.03573083211031504
0.8,0.035733143729383944
0.81,0.03570633151537057
0.8200000000000001,0.03567951930135718
0.8300000000000001,0.035652707087343805
0.84,0.03562589487333042
0.85,0.03559908265931704
0.86,0.035629633961649795
0.87,0.03566018526398255
0.88,0.0356907365663153
0.89,0.035721287868648054
0.9,0.035751839170980806
0.91,0.03573116522223821
0.92,0.03571049127349561
0.93,0.03568981732475302
0.9400000000000001,0.035669143376010425
0.9500000000000001,0.03564846942726783
0.96,0.035591364706848205
0.97,0.03553425998642858
0.98,0.03547715526600897
0.99,0.035420050545589346
1.0,0.035362945825169724
