SOC,OCV,HystV
0.0,2.18170691983476,0.03232767358723132
0.01,2.874252236442689,0.03232767358723132
0.02,2.9901841204479913,0.03232767358723132
0.03,3.0647991951591402,0.03232767358723132
0.04,3.1192539692594465,0.03232767358723132
0.05,3.1614805777482324,0.03232767358723132
0.06,3.1908992454038145,0.028201111691334768
0.07,3.20006559613985,0.024212590450390037
0.08,3.2031160012359647,0.02268738790233482
0.09,3.20492717926178,0.0222107621060601
0.1,3.206452381809835,0.022210762106064985
0.11,3.207882259198635,0.022496737583824977
0.12,3.209788762383705,0.02306868853934496
0.13,3.2115482798170802,0.024256255017199857
0.14,3.2141539371221883,0.02575757558562164
0.15,3.217796075761005,0.027453645865004983
0.16,3.22446883690875,0.02669104459098004
0.17,3.2323808251267847,0.02545181752068504
0.18,3.238862935956025,0.025261167202174972
0.19,3.2450590713075,0.025356492361430005
0.2,3.2520178079330053,0.024879866565165054
0.21,3.25840459360299,0.02516584204292016
0.22,3.262658698839743,0.02503498995401321
0.23,3.266602557298795,0.02573779299844503
0.24,3.2708013714401396,0.02707685236218982
0.25,3.275467797109365,0.02869287293530487
0.26,3.2788995028424948,0.02869287293530509
0.27,3.2812826318238297,0.027644296183509942
0.28,3.28366576080517,0.026786369750229966
0.29,3.2858661625975043,0.026301820824455646
0.3,3.287764742653065,0.02573779299844503
0.31,3.289289945201125,0.02497519172441498
0.32,3.2910057980676903,0.02402194013187997
0.33,3.29272165093425,0.022687387902329936
0.34,3.2939819362665332,0.021808403207066895
0.35000000000000003,3.2947669504585604,0.021595339970559735
0.36,3.29520010507484,0.021352835672779902
0.37,3.2956767308711052,0.021448160832034935
0.38,3.2960580315081254,0.021448160832034935
0.39,3.296404793740345,0.02148269923682511
0.4,3.296629982463645,0.021448160832034935
0.41000000000000003,3.2971066082599103,0.021734136309800034
0.42,3.297297258578415,0.021734136309794927
0.43,3.29771032091129,0.02157524768714958
0.44,3.298059859852445,0.021924786628304993
0.45,3.2981551850117,0.022020111787560026
0.46,3.298599921144829,0.02208354728366957
0.47000000000000003,3.29882246112647,0.022115436946809952
0.48,3.29920376176349,0.022306087265320018
0.49,3.299428575572123,0.02246257409369723
0.5,3.299838973586255,0.022559998451074925
0.51,3.300252338515275,0.02278271306158497
0.52,3.300695719092131,0.02297304920665577
0.53,3.301110264948555,0.02306868853934496
0.54,3.301586890744825,0.023354664017104954
0.55,3.3021588417003453,0.02354531433561502
0.56,3.302894780081653,0.023762627546837
0.5700000000000001,3.3034933939298954,0.024117265291135004
0.58,3.304351320363175,0.024403240768894996
0.59,3.3053409883049882,0.024630307436678267
0.6,3.30673444934451,0.025070516883670013
0.61,3.3084503022110754,0.02545181752068504
0.62,3.311024081510925,0.02573779299844503
0.63,3.31483708788106,0.026500394272470196
0.64,3.321509849028805,0.027072345227995065
0.65,3.3301844385208748,0.02545181752068504
0.66,3.334959794199653,0.022601160459182923
0.67,3.336571224190855,0.021162185354274943
0.68,3.33695252482787,0.02039958408025
0.6900000000000001,3.337400197506801,0.02014256171982942
0.7000000000000001,3.337790129038062,0.020093286379391673
0.71,3.33800110157966,0.01992295828397994
0.72,3.338299305817945,0.019839861885254884
0.73,3.338477727375925,0.019827633124724908
0.74,3.33876370285369,0.01992295828397994
0.75,3.3388858571822357,0.01999145427394433
0.76,3.339240328649955,0.020018283443234974
0.77,3.3393537278816057,0.01990488421158454
0.78,3.3396216292869703,0.020018283443229867
0.79,3.3397444771665326,0.020141131322792383
0.8,3.33990760476473,0.020113608602490007
0.81,3.34019358024249,0.020208933761739933
0.8200000000000001,3.340384230560995,0.020018283443234974
0.8300000000000001,3.340479555720255,0.020304258920994966
0.84,3.340578609676456,0.020212662558695804
0.85,3.3408608563572653,0.020304258920994966
0.86,3.3410515066757753,0.020304258920994966
0.87,3.3413844938626998,0.020352572371080457
0.88,3.34152813247204,0.02039958408025
0.89,3.34162345763129,0.020494909239499925
0.9,3.342100083427565,0.02059023439875496
0.91,3.342236603588435,0.02045371423788489
0.92,3.3427100186451373,0.02062821866080733
0.93,3.343053335020095,0.02059023439875496
0.9400000000000001,3.3434652437275414,0.020811492787691455
0.9500000000000001,3.3438159362941198,0.020971535035769984
0.96,3.344387887249645,0.020971535035769984
0.97,3.34505516336442,0.020971535035769984
0.98,3.3460084149569553,0.020971535035769984
0.99,3.356684832793345,0.020971535035769984
1.0,3.6355109236098198,0.020971535035769984
